cp	max_depth	min_split	min_bucket	ganancia_promedio
-0.1	10	600	200	48654000
-1	10	600	50	48156000
-0.5	10	600	50	48156000
-0.3	10	600	50	48156000
-0.1	10	600	50	48156000
-1	10	600	25	48454000
-0.5	10	600	25	48454000
-0.3	10	600	25	48454000
-0.1	10	600	25	48454000
-1	10	600	10	46610000
-0.5	10	600	10	46610000
-0.3	10	600	10	46610000
-0.1	10	600	10	46610000
-1	10	600	5	49268000
-0.5	10	600	5	49268000
-0.3	10	600	5	49268000
-0.1	10	600	5	49268000
-1	10	400	500	52094000
-0.5	10	400	500	52094000
-0.3	10	400	500	52094000
-0.1	10	400	500	52094000
-1	10	400	400	50154000
-0.5	10	400	400	50154000
-0.3	10	400	400	50154000
-0.1	10	400	400	50154000
-1	10	400	300	48684000
-0.5	10	400	300	48684000
-0.3	10	400	300	48684000
-0.1	10	400	300	48684000
-1	10	400	200	47870000
-0.5	10	400	200	47870000
-0.3	10	400	200	47870000
-0.1	10	400	200	47870000
-1	10	400	50	47268000
-0.5	10	400	50	47268000
-0.3	10	400	50	47268000
-0.1	10	400	50	47268000
-1	10	400	25	48224000
-0.5	10	400	25	48224000
-0.3	10	400	25	48224000
-0.1	10	400	25	48224000
-1	10	400	10	47586000
-0.5	10	400	10	47586000
-0.3	10	400	10	47586000
-0.1	10	400	10	47586000
-1	10	400	5	49176000
-0.5	10	400	5	49176000
-0.3	10	400	5	49176000
-0.1	10	400	5	49176000
-1	10	200	500	52094000
-0.5	10	200	500	52094000
-0.3	10	200	500	52094000
-0.1	10	200	500	52094000
-1	10	200	400	50154000
-0.5	10	200	400	50154000
-0.3	10	200	400	50154000
-0.1	10	200	400	50154000
-1	10	200	300	48684000
-0.5	10	200	300	48684000
-0.3	10	200	300	48684000
-0.1	10	200	300	48684000
-1	10	200	200	47870000
-0.5	10	200	200	47870000
-0.3	10	200	200	47870000
-0.1	10	200	200	47870000
-1	10	200	50	44362000
-0.5	10	200	50	44362000
-0.3	10	200	50	44362000
-0.1	10	200	50	44362000
-1	10	200	25	44984000
-0.5	10	200	25	44984000
-0.3	10	200	25	44984000
-0.1	10	200	25	44984000
-1	10	200	10	46286000
-0.5	10	200	10	46286000
-0.3	10	200	10	46286000
-0.1	10	200	10	46286000
-1	10	200	5	48374000
-0.5	10	200	5	48374000
-0.3	10	200	5	48374000
-0.1	10	200	5	48374000
-1	10	100	500	52094000
-0.5	10	100	500	52094000
-0.3	10	100	500	52094000
-0.1	10	100	500	52094000
-1	10	100	400	50154000
-0.5	10	100	400	50154000
-0.3	10	100	400	50154000
-0.1	10	100	400	50154000
-1	10	100	300	48684000
-0.5	10	100	300	48684000
-0.3	10	100	300	48684000
-0.1	10	100	300	48684000
-1	10	100	200	47870000
-0.5	10	100	200	47870000
-0.3	10	100	200	47870000
-0.1	10	100	200	47870000
-1	10	100	50	41418000
-0.5	10	100	50	41418000
-0.3	10	100	50	41418000
-0.1	10	100	50	41418000
-1	10	100	25	41238000
-0.5	10	100	25	41238000
-0.3	10	100	25	41238000
-0.1	10	100	25	41238000
-1	10	100	10	44904000
-0.5	10	100	10	44904000
-0.3	10	100	10	44904000
-0.1	10	100	10	44904000
-1	10	100	5	45932000
-0.5	10	100	5	45932000
-0.3	10	100	5	45932000
-0.1	10	100	5	45932000
-1	10	50	500	52094000
-0.5	10	50	500	52094000
-0.3	10	50	500	52094000
-0.1	10	50	500	52094000
-1	10	50	400	50154000
-0.5	10	50	400	50154000
-0.3	10	50	400	50154000
-0.1	10	50	400	50154000
-1	10	50	300	48684000
-0.5	10	50	300	48684000
-0.3	10	50	300	48684000
-0.1	10	50	300	48684000
-1	10	50	200	47870000
-0.5	10	50	200	47870000
-0.3	10	50	200	47870000
-0.1	10	50	200	47870000
-1	10	50	50	41418000
-0.5	10	50	50	41418000
-0.3	10	50	50	41418000
-0.1	10	50	50	41418000
-1	10	50	25	39254000
-0.5	10	50	25	39254000
-0.3	10	50	25	39254000
-0.1	10	50	25	39254000
-1	10	50	10	42660000
-0.5	10	50	10	42660000
-0.3	10	50	10	42660000
-0.1	10	50	10	42660000
-1	10	50	5	45002000
-0.5	10	50	5	45002000
-0.3	10	50	5	45002000
-0.1	10	50	5	45002000
-1	10	20	500	52094000
-0.5	10	20	500	52094000
-0.3	10	20	500	52094000
-0.1	10	20	500	52094000
-1	10	20	400	50154000
-0.5	10	20	400	50154000
-0.3	10	20	400	50154000
-0.1	10	20	400	50154000
-1	10	20	300	48684000
-0.5	10	20	300	48684000
-0.3	10	20	300	48684000
-0.1	10	20	300	48684000
-1	10	20	200	47870000
-0.5	10	20	200	47870000
-0.3	10	20	200	47870000
-0.1	10	20	200	47870000
-1	10	20	50	41418000
-0.5	10	20	50	41418000
-0.3	10	20	50	41418000
-0.1	10	20	50	41418000
-1	10	20	25	39254000
-0.5	10	20	25	39254000
-0.3	10	20	25	39254000
-0.1	10	20	25	39254000
-1	10	20	10	40582000
-0.5	10	20	10	40582000
-0.3	10	20	10	40582000
-0.1	10	20	10	40582000
-1	10	20	5	43862000
-0.5	10	20	5	43862000
-0.3	10	20	5	43862000
-0.1	10	20	5	43862000
-1	10	10	500	52094000
-0.5	10	10	500	52094000
-0.3	10	10	500	52094000
-0.1	10	10	500	52094000
-1	10	10	400	50154000
-0.5	10	10	400	50154000
-0.3	10	10	400	50154000
-0.1	10	10	400	50154000
-1	10	10	300	48684000
-0.5	10	10	300	48684000
-0.3	10	10	300	48684000
-0.1	10	10	300	48684000
-1	10	10	200	47870000
-0.5	10	10	200	47870000
-0.3	10	10	200	47870000
-0.1	10	10	200	47870000
-1	10	10	50	41418000
-0.5	10	10	50	41418000
-0.3	10	10	50	41418000
-0.1	10	10	50	41418000
-1	10	10	25	39254000
-0.5	10	10	25	39254000
-0.3	10	10	25	39254000
-0.1	10	10	25	39254000
-1	10	10	10	40582000
-0.5	10	10	10	40582000
-0.3	10	10	10	40582000
-0.1	10	10	10	40582000
-1	10	10	5	41844000
-0.5	10	10	5	41844000
-0.3	10	10	5	41844000
-0.1	10	10	5	41844000
-1	12	1000	500	51910000
-0.5	12	1000	500	51910000
-0.3	12	1000	500	51910000
-0.1	12	1000	500	51910000
-1	12	1000	400	51710000
-0.5	12	1000	400	51710000
-0.3	12	1000	400	51710000
-0.1	12	1000	400	51710000
-1	12	1000	300	52692000
-0.5	12	1000	300	52692000
-0.3	12	1000	300	52692000
-0.1	12	1000	300	52692000
-1	12	1000	200	51062000
-0.5	12	1000	200	51062000
-0.3	12	1000	200	51062000
-0.1	12	1000	200	51062000
-1	12	1000	50	49412000
-0.5	12	1000	50	49412000
-0.3	12	1000	50	49412000
-0.1	12	1000	50	49412000
-1	12	1000	25	48424000
-0.5	12	1000	25	48424000
-0.3	12	1000	25	48424000
-0.1	12	1000	25	48424000
-1	12	1000	10	47932000
-0.5	12	1000	10	47932000
-0.3	12	1000	10	47932000
-0.1	12	1000	10	47932000
-1	12	1000	5	48714000
-0.5	12	1000	5	48714000
-0.3	12	1000	5	48714000
-0.1	12	1000	5	48714000
-1	12	800	500	51910000
-0.5	12	800	500	51910000
-0.3	12	800	500	51910000
-0.1	12	800	500	51910000
-1	12	800	400	50154000
-0.5	12	800	400	50154000
-0.3	12	800	400	50154000
-0.1	12	800	400	50154000
-1	12	800	300	50986000
-0.5	12	800	300	50986000
-0.3	12	800	300	50986000
-0.1	12	800	300	50986000
-1	12	800	200	49766000
-0.5	12	800	200	49766000
-0.3	12	800	200	49766000
-0.1	12	800	200	49766000
-1	12	800	50	47622000
-0.5	12	800	50	47622000
-0.3	12	800	50	47622000
-0.1	12	800	50	47622000
-1	12	800	25	48224000
-0.5	12	800	25	48224000
-0.3	12	800	25	48224000
-0.1	12	800	25	48224000
-1	12	800	10	47400000
-0.5	12	800	10	47400000
-0.3	12	800	10	47400000
-0.1	12	800	10	47400000
-1	12	800	5	48132000
-0.5	12	800	5	48132000
-0.3	12	800	5	48132000
-0.1	12	800	5	48132000
-1	12	600	500	51910000
-0.5	12	600	500	51910000
-0.3	12	600	500	51910000
-0.1	12	600	500	51910000
-1	12	600	400	50154000
-0.5	12	600	400	50154000
-0.3	12	600	400	50154000
-0.1	12	600	400	50154000
-1	12	600	300	48684000
-0.5	12	600	300	48684000
-0.3	12	600	300	48684000
-0.1	12	600	300	48684000
-1	12	600	200	47876000
-0.5	12	600	200	47876000
-0.3	12	600	200	47876000
-0.1	12	600	200	47876000
-1	12	600	50	4.7e+07
-0.5	12	600	50	4.7e+07
-0.3	12	600	50	4.7e+07
-0.1	12	600	50	4.7e+07
-1	12	600	25	47198000
-0.5	12	600	25	47198000
-0.3	12	600	25	47198000
-0.1	12	600	25	47198000
-1	12	600	10	46250000
-0.5	12	600	10	46250000
-0.3	12	600	10	46250000
-0.1	12	600	10	46250000
-1	12	600	5	47372000
-0.5	12	600	5	47372000
-0.3	12	600	5	47372000
-0.1	12	600	5	47372000
-1	12	400	500	51910000
-0.5	12	400	500	51910000
-0.3	12	400	500	51910000
-0.1	12	400	500	51910000
-1	12	400	400	50154000
-0.5	12	400	400	50154000
-0.3	12	400	400	50154000
-0.1	12	400	400	50154000
-1	12	400	300	48684000
-0.5	12	400	300	48684000
-0.3	12	400	300	48684000
-0.1	12	400	300	48684000
-1	12	400	200	46990000
-0.5	12	400	200	46990000
-0.3	12	400	200	46990000
-0.1	12	400	200	46990000
-1	12	400	50	45766000
-0.5	12	400	50	45766000
-0.3	12	400	50	45766000
-0.1	12	400	50	45766000
-1	12	400	25	46816000
-0.5	12	400	25	46816000
-0.3	12	400	25	46816000
-0.1	12	400	25	46816000
-1	12	400	10	46320000
-0.5	12	400	10	46320000
-0.3	12	400	10	46320000
-0.1	12	400	10	46320000
-1	12	400	5	47754000
-0.5	12	400	5	47754000
-0.3	12	400	5	47754000
-0.1	12	400	5	47754000
-1	12	200	500	51910000
-0.5	12	200	500	51910000
-0.3	12	200	500	51910000
-0.1	12	200	500	51910000
-1	12	200	400	50154000
-0.5	12	200	400	50154000
-0.3	12	200	400	50154000
-0.1	12	200	400	50154000
-1	12	200	300	48684000
-0.5	12	200	300	48684000
-0.3	12	200	300	48684000
-0.1	12	200	300	48684000
-1	12	200	200	46990000
-0.5	12	200	200	46990000
-0.3	12	200	200	46990000
-0.1	12	200	200	46990000
-1	12	200	50	42752000
-0.5	12	200	50	42752000
-0.3	12	200	50	42752000
-0.1	12	200	50	42752000
-1	12	200	25	42668000
-0.5	12	200	25	42668000
-0.3	12	200	25	42668000
-0.1	12	200	25	42668000
-1	12	200	10	43890000
-0.5	12	200	10	43890000
-0.3	12	200	10	43890000
-0.1	12	200	10	43890000
-1	12	200	5	45796000
-0.5	12	200	5	45796000
-0.3	12	200	5	45796000
-0.1	12	200	5	45796000
-1	12	100	500	51910000
-0.5	12	100	500	51910000
-0.3	12	100	500	51910000
-0.1	12	100	500	51910000
-1	12	100	400	50154000
-0.5	12	100	400	50154000
-0.3	12	100	400	50154000
-0.1	12	100	400	50154000
-1	12	100	300	48684000
-0.5	12	100	300	48684000
-0.3	12	100	300	48684000
-0.1	12	100	300	48684000
-1	12	100	200	46990000
-0.5	12	100	200	46990000
-0.3	12	100	200	46990000
-0.1	12	100	200	46990000
-1	12	100	50	38996000
-0.5	12	100	50	38996000
-0.3	12	100	50	38996000
-0.1	12	100	50	38996000
-1	12	100	25	37030000
-0.5	12	100	25	37030000
-0.3	12	100	25	37030000
-0.1	12	100	25	37030000
-1	12	100	10	40756000
-0.5	12	100	10	40756000
-0.3	12	100	10	40756000
-0.1	12	100	10	40756000
-1	12	100	5	41734000
-0.5	12	100	5	41734000
-0.3	12	100	5	41734000
-0.1	12	100	5	41734000
-1	12	50	500	51910000
-0.5	12	50	500	51910000
-0.3	12	50	500	51910000
-0.1	12	50	500	51910000
-1	12	50	400	50154000
-0.5	12	50	400	50154000
-0.3	12	50	400	50154000
-0.1	12	50	400	50154000
-1	12	50	300	48684000
-0.5	12	50	300	48684000
-0.3	12	50	300	48684000
-0.1	12	50	300	48684000
-1	12	50	200	46990000
-0.5	12	50	200	46990000
-0.3	12	50	200	46990000
-0.1	12	50	200	46990000
-1	12	50	50	38996000
-0.5	12	50	50	38996000
-0.3	12	50	50	38996000
-0.1	12	50	50	38996000
-1	12	50	25	34192000
-0.5	12	50	25	34192000
-0.3	12	50	25	34192000
-0.1	12	50	25	34192000
-1	12	50	10	36950000
-0.5	12	50	10	36950000
-0.3	12	50	10	36950000
-0.1	12	50	10	36950000
-1	12	50	5	39572000
-0.5	12	50	5	39572000
-0.3	12	50	5	39572000
-0.1	12	50	5	39572000
-1	12	20	500	51910000
-0.5	12	20	500	51910000
-0.3	12	20	500	51910000
-0.1	12	20	500	51910000
-1	12	20	400	50154000
-0.5	12	20	400	50154000
-0.3	12	20	400	50154000
-0.1	12	20	400	50154000
-1	12	20	300	48684000
-0.5	12	20	300	48684000
-0.3	12	20	300	48684000
-0.1	12	20	300	48684000
-1	12	20	200	46990000
-0.5	12	20	200	46990000
-0.3	12	20	200	46990000
-0.1	12	20	200	46990000
-1	12	20	50	38996000
-0.5	12	20	50	38996000
-0.3	12	20	50	38996000
-0.1	12	20	50	38996000
-1	12	20	25	34192000
-0.5	12	20	25	34192000
-0.3	12	20	25	34192000
-0.1	12	20	25	34192000
-1	12	20	10	34168000
-0.5	12	20	10	34168000
-0.3	12	20	10	34168000
-0.1	12	20	10	34168000
-1	12	20	5	37450000
-0.5	12	20	5	37450000
-0.3	12	20	5	37450000
-0.1	12	20	5	37450000
-1	12	10	500	51910000
-0.5	12	10	500	51910000
-0.3	12	10	500	51910000
-0.1	12	10	500	51910000
-1	12	10	400	50154000
-0.5	12	10	400	50154000
-0.3	12	10	400	50154000
-0.1	12	10	400	50154000
-1	12	10	300	48684000
-0.5	12	10	300	48684000
-0.3	12	10	300	48684000
-0.1	12	10	300	48684000
-1	12	10	200	46990000
-0.5	12	10	200	46990000
-0.3	12	10	200	46990000
-0.1	12	10	200	46990000
-1	12	10	50	38996000
-0.5	12	10	50	38996000
-0.3	12	10	50	38996000
-0.1	12	10	50	38996000
-1	12	10	25	34192000
-0.5	12	10	25	34192000
-0.3	12	10	25	34192000
-0.1	12	10	25	34192000
-1	12	10	10	34168000
-0.5	12	10	10	34168000
-0.3	12	10	10	34168000
-0.1	12	10	10	34168000
-1	12	10	5	34700000
-0.5	12	10	5	34700000
-0.3	12	10	5	34700000
-0.1	12	10	5	34700000
-1	14	1000	500	51910000
-0.5	14	1000	500	51910000
-0.3	14	1000	500	51910000
-0.1	14	1000	500	51910000
-1	14	1000	400	51710000
-0.5	14	1000	400	51710000
-0.3	14	1000	400	51710000
-0.1	14	1000	400	51710000
-1	14	1000	300	52692000
-0.5	14	1000	300	52692000
-0.3	14	1000	300	52692000
-0.1	14	1000	300	52692000
-1	14	1000	200	51062000
-0.5	14	1000	200	51062000
-0.3	14	1000	200	51062000
-0.1	14	1000	200	51062000
-1	14	1000	50	49086000
-0.5	14	1000	50	49086000
-0.3	14	1000	50	49086000
-0.1	14	1000	50	49086000
-1	14	1000	25	48208000
-0.5	14	1000	25	48208000
-0.3	14	1000	25	48208000
-0.1	14	1000	25	48208000
-1	14	1000	10	48050000
-0.5	14	1000	10	48050000
-0.3	14	1000	10	48050000
-0.1	14	1000	10	48050000
-1	14	1000	5	48946000
-0.5	14	1000	5	48946000
-0.3	14	1000	5	48946000
-0.1	14	1000	5	48946000
-1	14	800	500	51910000
-0.5	14	800	500	51910000
-0.3	14	800	500	51910000
-0.1	14	800	500	51910000
-1	14	800	400	50154000
-0.5	14	800	400	50154000
-0.3	14	800	400	50154000
-0.1	14	800	400	50154000
-1	14	800	300	50986000
-0.5	14	800	300	50986000
-0.3	14	800	300	50986000
-0.1	14	800	300	50986000
-1	14	800	200	49766000
-0.5	14	800	200	49766000
-0.3	14	800	200	49766000
-0.1	14	800	200	49766000
-1	14	800	50	47184000
-0.5	14	800	50	47184000
-0.3	14	800	50	47184000
-0.1	14	800	50	47184000
-1	14	800	25	48104000
-0.5	14	800	25	48104000
-0.3	14	800	25	48104000
-0.1	14	800	25	48104000
-1	14	800	10	47026000
-0.5	14	800	10	47026000
-0.3	14	800	10	47026000
-0.1	14	800	10	47026000
-1	14	800	5	48708000
-0.5	14	800	5	48708000
-0.3	14	800	5	48708000
-0.1	14	800	5	48708000
-1	14	600	500	51910000
-0.5	14	600	500	51910000
-0.3	14	600	500	51910000
-0.1	14	600	500	51910000
-1	14	600	400	50154000
-0.5	14	600	400	50154000
-0.3	14	600	400	50154000
-0.1	14	600	400	50154000
-1	14	600	300	48684000
-0.5	14	600	300	48684000
-0.3	14	600	300	48684000
-0.1	14	600	300	48684000
-1	14	600	200	47876000
-0.5	14	600	200	47876000
-0.3	14	600	200	47876000
-0.1	14	600	200	47876000
-1	14	600	50	46476000
-0.5	14	600	50	46476000
-0.3	14	600	50	46476000
-0.1	14	600	50	46476000
-1	14	600	25	46788000
-0.5	14	600	25	46788000
-0.3	14	600	25	46788000
-0.1	14	600	25	46788000
-1	14	600	10	46368000
-0.5	14	600	10	46368000
-0.3	14	600	10	46368000
-0.1	14	600	10	46368000
-1	14	600	5	47134000
-0.5	14	600	5	47134000
-0.3	14	600	5	47134000
-0.1	14	600	5	47134000
-1	14	400	500	51910000
-0.5	14	400	500	51910000
-0.3	14	400	500	51910000
-0.1	14	400	500	51910000
-1	14	400	400	50154000
-0.5	14	400	400	50154000
-0.3	14	400	400	50154000
-0.1	14	400	400	50154000
-1	14	400	300	48684000
-0.5	14	400	300	48684000
-0.3	14	400	300	48684000
-0.1	14	400	300	48684000
-1	14	400	200	46990000
-0.5	14	400	200	46990000
-0.3	14	400	200	46990000
-0.1	14	400	200	46990000
-1	14	400	50	44924000
-0.5	14	400	50	44924000
-0.3	14	400	50	44924000
-0.1	14	400	50	44924000
-1	14	400	25	46542000
-0.5	14	400	25	46542000
-0.3	14	400	25	46542000
-0.1	14	400	25	46542000
-1	14	400	10	46660000
-0.5	14	400	10	46660000
-0.3	14	400	10	46660000
-0.1	14	400	10	46660000
-1	14	400	5	46994000
-0.5	14	400	5	46994000
-0.3	14	400	5	46994000
-0.1	14	400	5	46994000
-1	14	200	500	51910000
-0.5	14	200	500	51910000
-0.3	14	200	500	51910000
-0.1	14	200	500	51910000
-1	14	200	400	50154000
-0.5	14	200	400	50154000
-0.3	14	200	400	50154000
-0.1	14	200	400	50154000
-1	14	200	300	48684000
-0.5	14	200	300	48684000
-0.3	14	200	300	48684000
-0.1	14	200	300	48684000
-1	14	200	200	46990000
-0.5	14	200	200	46990000
-0.3	14	200	200	46990000
-0.1	14	200	200	46990000
-1	14	200	50	40960000
-0.5	14	200	50	40960000
-0.3	14	200	50	40960000
-0.1	14	200	50	40960000
-1	14	200	25	42124000
-0.5	14	200	25	42124000
-0.3	14	200	25	42124000
-0.1	14	200	25	42124000
-1	14	200	10	43144000
-0.5	14	200	10	43144000
-0.3	14	200	10	43144000
-0.1	14	200	10	43144000
-1	14	200	5	44622000
-0.5	14	200	5	44622000
-0.3	14	200	5	44622000
-0.1	14	200	5	44622000
-1	14	100	500	51910000
-0.5	14	100	500	51910000
-0.3	14	100	500	51910000
-0.1	14	100	500	51910000
-1	14	100	400	50154000
-0.5	14	100	400	50154000
-0.3	14	100	400	50154000
-0.1	14	100	400	50154000
-1	14	100	300	48684000
-0.5	14	100	300	48684000
-0.3	14	100	300	48684000
-0.1	14	100	300	48684000
-1	14	100	200	46990000
-0.5	14	100	200	46990000
-0.3	14	100	200	46990000
-0.1	14	100	200	46990000
-1	14	100	50	37634000
-0.5	14	100	50	37634000
-0.3	14	100	50	37634000
-0.1	14	100	50	37634000
-1	14	100	25	36436000
-0.5	14	100	25	36436000
-0.3	14	100	25	36436000
-0.1	14	100	25	36436000
-1	14	100	10	39556000
-0.5	14	100	10	39556000
-0.3	14	100	10	39556000
-0.1	14	100	10	39556000
-1	14	100	5	38362000
-0.5	14	100	5	38362000
-0.3	14	100	5	38362000
-0.1	14	100	5	38362000
-1	14	50	500	51910000
-0.5	14	50	500	51910000
-0.3	14	50	500	51910000
-0.1	14	50	500	51910000
-1	14	50	400	50154000
-0.5	14	50	400	50154000
-0.3	14	50	400	50154000
-0.1	14	50	400	50154000
-1	14	50	300	48684000
-0.5	14	50	300	48684000
-0.3	14	50	300	48684000
-0.1	14	50	300	48684000
-1	14	50	200	46990000
-0.5	14	50	200	46990000
-0.3	14	50	200	46990000
-0.1	14	50	200	46990000
-1	14	50	50	37634000
-0.5	14	50	50	37634000
-0.3	14	50	50	37634000
-0.1	14	50	50	37634000
-1	14	50	25	33616000
-0.5	14	50	25	33616000
-0.3	14	50	25	33616000
-0.1	14	50	25	33616000
-1	14	50	10	33770000
-0.5	14	50	10	33770000
-0.3	14	50	10	33770000
-0.1	14	50	10	33770000
-1	14	50	5	35502000
-0.5	14	50	5	35502000
-0.3	14	50	5	35502000
-0.1	14	50	5	35502000
-1	14	20	500	51910000
-0.5	14	20	500	51910000
-0.3	14	20	500	51910000
-0.1	14	20	500	51910000
-1	14	20	400	50154000
-0.5	14	20	400	50154000
-0.3	14	20	400	50154000
-0.1	14	20	400	50154000
-1	14	20	300	48684000
-0.5	14	20	300	48684000
-0.3	14	20	300	48684000
-0.1	14	20	300	48684000
-1	14	20	200	46990000
-0.5	14	20	200	46990000
-0.3	14	20	200	46990000
-0.1	14	20	200	46990000
-1	14	20	50	37634000
-0.5	14	20	50	37634000
-0.3	14	20	50	37634000
-0.1	14	20	50	37634000
-1	14	20	25	33616000
-0.5	14	20	25	33616000
-0.3	14	20	25	33616000
-0.1	14	20	25	33616000
-1	14	20	10	30294000
-0.5	14	20	10	30294000
-0.3	14	20	10	30294000
-0.1	14	20	10	30294000
-1	14	20	5	32250000
-0.5	14	20	5	32250000
-0.3	14	20	5	32250000
-0.1	14	20	5	32250000
-1	14	10	500	51910000
-0.5	14	10	500	51910000
-0.3	14	10	500	51910000
-0.1	14	10	500	51910000
-1	14	10	400	50154000
-0.5	14	10	400	50154000
-0.3	14	10	400	50154000
-0.1	14	10	400	50154000
-1	14	10	300	48684000
-0.5	14	10	300	48684000
-0.3	14	10	300	48684000
-0.1	14	10	300	48684000
-1	14	10	200	46990000
-0.5	14	10	200	46990000
-0.3	14	10	200	46990000
-0.1	14	10	200	46990000
-1	14	10	50	37634000
-0.5	14	10	50	37634000
-0.3	14	10	50	37634000
-0.1	14	10	50	37634000
-1	14	10	25	33616000
-0.5	14	10	25	33616000
-0.3	14	10	25	33616000
-0.1	14	10	25	33616000
-1	14	10	10	30294000
-0.5	14	10	10	30294000
-0.3	14	10	10	30294000
-0.1	14	10	10	30294000
-1	14	10	5	28440000
-0.5	14	10	5	28440000
-0.3	14	10	5	28440000
-0.1	14	10	5	28440000
