cp	max_depth	min_split	min_bucket	ganancia_promedio
-0.5	4	100	5	48414000
-0.3	4	100	5	48414000
-0.1	4	100	5	48414000
-1	4	50	500	52112000
-0.5	4	50	500	52112000
-0.3	4	50	500	52112000
-0.1	4	50	500	52112000
-1	4	50	400	52468000
-0.5	4	50	400	52468000
-0.3	4	50	400	52468000
-0.1	4	50	400	52468000
-1	4	50	300	52634000
-0.5	4	50	300	52634000
-0.3	4	50	300	52634000
-0.1	4	50	300	52634000
-1	4	50	200	52872000
-0.5	4	50	200	52872000
-0.3	4	50	200	52872000
-0.1	4	50	200	52872000
-1	4	50	50	48984000
-0.5	4	50	50	48984000
-0.3	4	50	50	48984000
-0.1	4	50	50	48984000
-1	4	50	25	48658000
-0.5	4	50	25	48658000
-0.3	4	50	25	48658000
-0.1	4	50	25	48658000
-1	4	50	10	49062000
-0.5	4	50	10	49062000
-0.3	4	50	10	49062000
-0.1	4	50	10	49062000
-1	4	50	5	48414000
-0.5	4	50	5	48414000
-0.3	4	50	5	48414000
-0.1	4	50	5	48414000
-1	4	20	500	52112000
-0.5	4	20	500	52112000
-0.3	4	20	500	52112000
-0.1	4	20	500	52112000
-1	4	20	400	52468000
-0.5	4	20	400	52468000
-0.3	4	20	400	52468000
-0.1	4	20	400	52468000
-1	4	20	300	52634000
-0.5	4	20	300	52634000
-0.3	4	20	300	52634000
-0.1	4	20	300	52634000
-1	4	20	200	52872000
-0.5	4	20	200	52872000
-0.3	4	20	200	52872000
-0.1	4	20	200	52872000
-1	4	20	50	48984000
-0.5	4	20	50	48984000
-0.3	4	20	50	48984000
-0.1	4	20	50	48984000
-1	4	20	25	48658000
-0.5	4	20	25	48658000
-0.3	4	20	25	48658000
-0.1	4	20	25	48658000
-1	4	20	10	49062000
-0.5	4	20	10	49062000
-0.3	4	20	10	49062000
-0.1	4	20	10	49062000
-1	4	20	5	48414000
-0.5	4	20	5	48414000
-0.3	4	20	5	48414000
-0.1	4	20	5	48414000
-1	4	10	500	52112000
-0.5	4	10	500	52112000
-0.3	4	10	500	52112000
-0.1	4	10	500	52112000
-1	4	10	400	52468000
-0.5	4	10	400	52468000
-0.3	4	10	400	52468000
-0.1	4	10	400	52468000
-1	4	10	300	52634000
-0.5	4	10	300	52634000
-0.3	4	10	300	52634000
-0.1	4	10	300	52634000
-1	4	10	200	52872000
-0.5	4	10	200	52872000
-0.3	4	10	200	52872000
-0.1	4	10	200	52872000
-1	4	10	50	48984000
-0.5	4	10	50	48984000
-0.3	4	10	50	48984000
-0.1	4	10	50	48984000
-1	4	10	25	48658000
-0.5	4	10	25	48658000
-0.3	4	10	25	48658000
-0.1	4	10	25	48658000
-1	4	10	10	49062000
-0.5	4	10	10	49062000
-0.3	4	10	10	49062000
-0.1	4	10	10	49062000
-1	4	10	5	48414000
-0.5	4	10	5	48414000
-0.3	4	10	5	48414000
-0.1	4	10	5	48414000
-1	6	1000	500	51196000
-0.5	6	1000	500	51196000
-0.3	6	1000	500	51196000
-0.1	6	1000	500	51196000
-1	6	1000	400	51716000
-0.5	6	1000	400	51716000
-0.3	6	1000	400	51716000
-0.1	6	1000	400	51716000
